description
"[['mir', 'fot', 'jajja']]"
[['jajajj']]
"[['ok', 'ok', 'voy', 'tir', 'ver', 'sal']]"
"[['de', 'q', 'cp']]"
"[['la', '10']]"
"[['yo', 'hech']]"
[['locur']]
"[['no', 'ide']]"
"[['yo', 'latex', 'uso', 'tild', 'normal']]"
[['no']]
"[['yo', '....', 'packag', 'q', 'latex', 'ahi', 'q', 'evit', 'usar']]"
"[['y', 'pued', 'usar', 'tild', 'letr', 'direct']]"
[['inputec']]
"[['cre', 'q']]"
"[['no', 'ide', 'man']]"
"[['y', 'pon', 'latin']]"
"[['algo', 'asi']]"
"[['pos', 'ide', 'jajajaj']]"
"[['fijat', '.sql']]"
"[['no', 'man']]"
"[['yo', 'hech', 'local']]"
"[['si', '...', 'ped', 'request', 'bas', 'dat', 'extern']]"
"[['y', 'hag', 'siempr', 'pa', 'guard', 'cos', 'usar', 'json', 'cos', 'asi']]"
"[['o', '...', 'sql', 'd']]"
"[['si', 'si']]"
"[['en', 'unity']]"
"[['no', 'mejor', 'pa']]"
"[['per', 'usad']]"
"[['no', 'man']]"
"[['per', 'recom', 'fuertement', 'flutt']]"
"[['es', 'tiz']]"
"[['no', 'usad', 'q', 'buen']]"
"[['no', 'man']]"
"[['estoy', 'termin', 'sbd']]"
"[['q', 'welt', 'man']]"
"[['ahh', 'si', 'si', '....', 'report', 'general', 'proyect']]"
"[['cã³mo', 'estã¡', 'estructur', 'etc']]"
[['mir']]
"[['te', 'mand', 'msg', 'q', 'mandã³', 'piad']]"
"[['describ', 'domini', 'problem', 'primer', 'quier', 'logr', 'lueg', 'habl', 'soluciã³n', 'screenshots', 'hac', 'cã³mo', 'usa', 'cã³mo', 'program', 'lenguaj', 'lueg', 'habl', 'detall', 'implementaciã³n', 'algoritm', 'estã¡n', 'detrã¡s', 'cad', 'cos', 'cã³mo', 'implement', 'part']]"
[['anja']]
"[['per', 'ahor', 'proyect', 'enter']]"
[['entonc']]
"[['man', 'q', 'report', 'q', 'hacã\xad', 'dic', 'cos', 'q', 'habã\xad', 'hech']]"
"[['y', 'final', 'hic', 'resum', 'general']]"
"[['si', 'quier', 'pued', 'ver']]"
"[['es', 'readm', 'rep']]"
[['anja']]
"[['el', 'botã³n', 'ahã\xad', 'upgrad']]"
"[['per', 'ten', 'cuida', '...', 'pued', 'q', '60mb']]"
"[['no', 'recuerd', 'dond', 'deb', 'ser', 'difã\xadcil', 'encontr']]"
[['anja']]
"[['vscod', '...', 'extensiã³n']]"
"[['ahh', 'ok', 'ok']]"
"[['q', 'pued', 'corr', 'cã³dig']]"
"[['buen', '...', 'ahor', 'recuerd', 'dos', 'jajaj']]"
"[['mand', 'fot']]"
[['scre']]
"[['ctrl+ent', 'y/o', 'shift+ent', 'pued', 'corr', 'cell']]"
"[['jjj', 'okok']]"
"[['tampoc', 'estã¡', 'lad', 'barr', 'lad', 'derech']]"
